有價證券代號及名稱,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode,代號,公司名稱
2938　床的世界,TW0002938008,2016/10/05,興櫃,居家生活,ESVUFR,2938,床的世界
2942　京站,TW0002942000,2018/03/31,興櫃,居家生活,ESVUFR,2942,京站
3097　拍檔,TW0003097002,2002/08/02,興櫃,電腦及週邊設備業,ESVUFR,3097,拍檔
3117　年程,TW0003117008,2012/08/31,興櫃,電子零組件業,ESVUFR,3117,年程
3135　凌航,TW0003135000,2021/11/22,興櫃,半導體業,ESVUFR,3135,凌航
3150　鈺寶,TW0003150009,2010/10/06,興櫃,半導體業,ESVUFR,3150,鈺寶
3158　嘉實,TW0003158002,2018/03/16,興櫃,資訊服務業,ESVUFR,3158,嘉實
3184　微邦,TW0003184008,2013/04/18,興櫃,生技醫療業,ESVUFR,3184,微邦
3467　台灣精材,TW0003467007,2023/12/22,興櫃,半導體業,ESVUFR,3467,台灣精材
3485　敘豐,TW0003485009,2012/09/28,興櫃,光電業,ESVUFR,3485,敘豐
3585　聯致,TW0003585006,2007/10/25,興櫃,電子零組件業,ESVUFR,3585,聯致
3595　山太士,TW0003595005,2007/11/16,興櫃,光電業,ESVUFR,3595,山太士
3603　建祥國際,TW0003603007,2008/01/09,興櫃,電子通路業,ESVUFR,3603,建祥國際
3627　華信科,TW0003627006,2013/03/26,興櫃,光電業,ESVUFR,3627,華信科
3633　云光,TW0003633004,2008/08/06,興櫃,光電業,ESVUFR,3633,云光
3659　百辰,TW0003659009,2009/10/19,興櫃,光電業,ESVUFR,3659,百辰
3678　聯享,TW0003678009,2009/10/22,興櫃,光電業,ESVUFR,3678,聯享
4115　善德生技,TW0004115001,2022/08/31,興櫃,生技醫療業,ESVUFR,4115,善德生技
4117　普生,TW0004117007,2002/07/04,興櫃,生技醫療業,ESVUFR,4117,普生
4132　國鼎,TW0004132006,2010/05/26,興櫃,生技醫療業,ESVUFR,4132,國鼎
4150　優你康,TW0004150008,2010/09/15,興櫃,生技醫療業,ESVUFR,4150,優你康
4166　友霖,TW0004166004,2012/06/15,興櫃,生技醫療業,ESVUFR,4166,友霖
4169　泰宗,TW0004169008,2012/05/07,興櫃,生技醫療業,ESVUFR,4169,泰宗
4170　鑫品生醫,TW0004170006,2023/12/28,興櫃,生技醫療業,ESVUFR,4170,鑫品生醫
4172　因華,TW0004172002,2012/09/13,興櫃,生技醫療業,ESVUFR,4172,因華
